Workout Name,Current Rep,Current Set,workout time
{'Standard Squarts'},0/15,1/4,{14.16675329208374}
{'Standard Squarts'},0/15,1/4,{14.213922023773193}
{'Standard Squarts'},0/15,1/4,{14.259273052215576}
{'Standard Squarts'},0/15,1/4,{14.304885864257812}
{'Standard Squarts'},0/15,1/4,{14.354637384414673}
{'Standard Squarts'},0/15,1/4,{14.397610902786255}
{'Standard Squarts'},0/15,1/4,{14.4464590549469}
{'Standard Squarts'},0/15,1/4,{14.49250841140747}
{'Standard Squarts'},0/15,1/4,{14.52502179145813}
{'Standard Squarts'},0/15,1/4,{14.572798728942871}
{'Standard Squarts'},0/15,1/4,{14.617457628250122}
{'Standard Squarts'},0/15,1/4,{14.665933609008789}
{'Standard Squarts'},0/15,1/4,{14.710533380508423}
{'Standard Squarts'},0/15,1/4,{14.743284463882446}
{'Standard Squarts'},0/15,1/4,{14.793906211853027}
{'Standard Squarts'},0/15,1/4,{14.836788654327393}
{'Standard Squarts'},0/15,1/4,{14.884095430374146}
{'Standard Squarts'},0/15,1/4,{14.917749643325806}
{'Standard Squarts'},0/15,1/4,{14.960636377334595}
{'Standard Squarts'},0/15,1/4,{14.993322849273682}
{'Standard Squarts'},0/15,1/4,{15.041151762008667}
{'Standard Squarts'},0/15,1/4,{15.087320566177368}
{'Standard Squarts'},0/15,1/4,{15.132518768310547}
{'Standard Squarts'},0/15,1/4,{15.165406703948975}
{'Standard Squarts'},0/15,1/4,{15.214517593383789}
{'Standard Squarts'},0/15,1/4,{15.25938105583191}
{'Standard Squarts'},0/15,1/4,{15.30734920501709}
{'Standard Squarts'},0/15,1/4,{15.3523850440979}
{'Standard Squarts'},0/15,1/4,{15.399673700332642}
{'Standard Squarts'},0/15,1/4,{15.44568419456482}
{'Standard Squarts'},0/15,1/4,{15.494426488876343}
{'Standard Squarts'},0/15,1/4,{15.539286375045776}
{'Standard Squarts'},0/15,1/4,{15.584825038909912}
{'Standard Squarts'},0/15,1/4,{15.618187665939331}
{'Standard Squarts'},0/15,1/4,{15.664165496826172}
{'Standard Squarts'},0/15,1/4,{15.71057653427124}
{'Standard Squarts'},0/15,1/4,{15.758052349090576}
{'Standard Squarts'},0/15,1/4,{15.806655645370483}
{'Standard Squarts'},0/15,1/4,{15.850364208221436}
{'Standard Squarts'},0/15,1/4,{15.89853549003601}
{'Standard Squarts'},0/15,1/4,{15.944160461425781}
{'Standard Squarts'},0/15,1/4,{15.992637395858765}
{'Standard Squarts'},0/15,1/4,{16.038933753967285}
{'Standard Squarts'},0/15,1/4,{16.083959341049194}
{'Standard Squarts'},0/15,1/4,{16.118003845214844}
{'Standard Squarts'},0/15,1/4,{16.16345977783203}
{'Standard Squarts'},0/15,1/4,{16.21042537689209}
{'Standard Squarts'},0/15,1/4,{16.258176803588867}
{'Standard Squarts'},0/15,1/4,{16.304178714752197}
{'Standard Squarts'},0/15,1/4,{16.34967565536499}
{'Standard Squarts'},0/15,1/4,{16.38313937187195}
{'Standard Squarts'},0/15,1/4,{16.429471969604492}
{'Standard Squarts'},0/15,1/4,{16.477142572402954}
{'Standard Squarts'},0/15,1/4,{16.523622274398804}
{'Standard Squarts'},0/15,1/4,{16.571420431137085}
{'Standard Squarts'},0/15,1/4,{16.61589765548706}
{'Standard Squarts'},0/15,1/4,{16.6619291305542}
{'Standard Squarts'},0/15,1/4,{16.713314056396484}
{'Standard Squarts'},0/15,1/4,{16.763360500335693}
{'Standard Squarts'},0/15,1/4,{16.80810308456421}
{'Standard Squarts'},0/15,1/4,{16.853241682052612}
{'Standard Squarts'},0/15,1/4,{16.896463632583618}
{'Standard Squarts'},0/15,1/4,{16.93056583404541}
{'Standard Squarts'},0/15,1/4,{16.979554653167725}
{'Standard Squarts'},0/15,1/4,{17.023518800735474}
{'Standard Squarts'},0/15,1/4,{17.072129011154175}
{'Standard Squarts'},0/15,1/4,{17.11764121055603}
{'Standard Squarts'},0/15,1/4,{17.16191554069519}
{'Standard Squarts'},0/15,1/4,{17.21149706840515}
{'Standard Squarts'},0/15,1/4,{17.256973028182983}
{'Standard Squarts'},0/15,1/4,{17.299848556518555}
{'Standard Squarts'},0/15,1/4,{17.3331561088562}
{'Standard Squarts'},0/15,1/4,{17.38094973564148}
{'Standard Squarts'},0/15,1/4,{17.427049160003662}
{'Standard Squarts'},0/15,1/4,{17.45925498008728}
{'Standard Squarts'},0/15,1/4,{17.508193731307983}
{'Standard Squarts'},0/15,1/4,{17.552263259887695}
{'Standard Squarts'},0/15,1/4,{17.599016666412354}
{'Standard Squarts'},0/15,1/4,{17.64792513847351}
{'Standard Squarts'},0/15,1/4,{17.692114114761353}
{'Standard Squarts'},0/15,1/4,{17.739227294921875}
{'Standard Squarts'},0/15,1/4,{17.786462545394897}
{'Standard Squarts'},0/15,1/4,{17.833956241607666}
{'Standard Squarts'},0/15,1/4,{17.880638599395752}
{'Standard Squarts'},0/15,1/4,{17.926213026046753}
{'Standard Squarts'},0/15,1/4,{17.96014904975891}
{'Standard Squarts'},0/15,1/4,{18.00732421875}
{'Standard Squarts'},0/15,1/4,{18.05439519882202}
{'Standard Squarts'},0/15,1/4,{18.098390340805054}
{'Standard Squarts'},0/15,1/4,{18.145511150360107}
{'Standard Squarts'},0/15,1/4,{18.178409576416016}
{'Standard Squarts'},0/15,1/4,{18.228264331817627}
{'Standard Squarts'},0/15,1/4,{18.27414560317993}
{'Standard Squarts'},0/15,1/4,{18.31614398956299}
{'Standard Squarts'},0/15,1/4,{18.349229097366333}
{'Standard Squarts'},0/15,1/4,{18.39610004425049}
{'Standard Squarts'},0/15,1/4,{18.441555976867676}
{'Standard Squarts'},0/15,1/4,{18.489803791046143}
{'Standard Squarts'},0/15,1/4,{18.53581929206848}
{'Standard Squarts'},0/15,1/4,{18.579924821853638}
{'Standard Squarts'},0/15,1/4,{18.613662481307983}
{'Standard Squarts'},0/15,1/4,{18.6592435836792}
{'Standard Squarts'},0/15,1/4,{18.708321809768677}
{'Standard Squarts'},0/15,1/4,{18.75308656692505}
{'Standard Squarts'},0/15,1/4,{18.784257173538208}
{'Standard Squarts'},0/15,1/4,{18.831815242767334}
{'Standard Squarts'},0/15,1/4,{18.87887740135193}
{'Standard Squarts'},0/15,1/4,{18.926345586776733}
{'Standard Squarts'},0/15,1/4,{18.973869800567627}
